creature_id,environment
1,underdark
2,urban
3,swamp
4,desert
4,coastal
5,desert
6,coastal
7,hill
8,grassland
8,forest
9,forest
10,mountain
10,hill
11,mountain
11,urban
12,arctic
13,mountain
13,desert
14,swamp
15,desert
15,coastal
16,desert
17,coastal
18,hill
19,grassland
19,forest
20,forest
21,mountain
21,hill
22,mountain
22,urban
23,arctic
24,desert
26,grassland
26,forest
27,forest
28,urban
29,urban
30,forest
31,forest
32,grassland
32,hill
34,forest
34,hill
35,forest
37,coastal
37,hill
37,arctic
37,urban
37,forest
37,desert
38,coastal
38,hill
38,arctic
38,urban
38,forest
38,desert
40,mountain
43,underdark
44,coastal
44,mountain
44,hill
44,arctic
44,forest
44,desert
45,forest
47,underdark
48,forest
49,mountain
49,grassland
49,forest
49,hill
49,coastal
49,arctic
51,grassland
51,forest
51,hill
55,forest
55,hill
55,arctic
56,underdark
56,grassland
56,forest
57,mountain
57,grassland
57,hill
58,desert
59,grassland
59,forest
59,urban
59,desert
60,grassland
60,forest
62,underdark
62,mountain
62,grassland
62,hill
63,underdark
65,underdark
66,mountain
67,grassland
68,arctic
68,desert
68,coastal
68,grassland
68,hill
68,urban
68,forest
69,underwater
69,forest
69,swamp
69,desert
71,grassland
71,forest
71,urban
71,desert
72,coastal
73,swamp
73,urban
74,urban
75,urban
76,underdark
77,desert
78,underdark
79,grassland
79,forest
81,forest
81,hill
82,coastal
83,underdark
83,urban
84,urban
85,underwater
85,coastal
87,underdark
88,underdark
89,coastal
89,mountain
89,grassland
89,hill
89,arctic
89,forest
89,swamp
89,underdark
89,desert
90,forest
91,underdark
92,desert
93,mountain
93,grassland
93,hill
93,coastal
94,underdark
95,desert
96,grassland
97,grassland
97,forest
97,hill
99,forest
100,underdark
100,mountain
100,hill
101,desert
102,underdark
102,mountain
104,grassland
104,forest
104,urban
104,desert
107,mountain
107,arctic
108,underdark
108,urban
109,underdark
110,underdark
110,swamp
110,urban
111,underdark
111,urban
112,underdark
112,swamp
112,urban
113,forest
114,forest
115,underdark
115,forest
116,grassland
116,forest
116,hill
117,underdark
117,urban
118,underwater
118,underdark
118,forest
118,swamp
118,desert
119,coastal
120,swamp
121,mountain
121,grassland
121,hill
121,coastal
122,mountain
122,grassland
122,forest
122,hill
123,underdark
124,forest
124,swamp
125,mountain
125,grassland
125,hill
126,grassland
126,forest
126,hill
126,desert
127,underdark
127,forest
127,swamp
127,desert
127,coastal
128,underwater
129,forest
129,hill
129,arctic
130,underdark
130,grassland
130,forest
130,swamp
130,urban
130,desert
131,underdark
131,forest
131,swamp
131,urban
132,desert
133,underwater
134,underwater
135,underdark
135,forest
135,swamp
135,urban
135,desert
136,underdark
136,forest
136,swamp
136,desert
136,coastal
137,grassland
137,desert
138,grassland
138,forest
138,urban
139,grassland
139,forest
139,hill
140,grassland
140,forest
140,hill
140,desert
140,coastal
141,underdark
143,urban
144,grassland
144,forest
144,hill
144,desert
145,mountain
145,grassland
145,hill
145,urban
146,underdark
146,grassland
146,forest
146,hill
148,grassland
148,forest
148,hill
149,underdark
151,forest
151,swamp
151,hill
152,underdark
152,forest
153,mountain
153,grassland
153,hill
153,coastal
153,arctic
154,underdark
155,coastal
155,mountain
155,grassland
155,hill
155,urban
155,forest
155,desert
156,forest
156,desert
157,desert
159,mountain
159,forest
159,hill
159,coastal
161,underdark
161,mountain
163,hill
164,mountain
164,grassland
164,hill
165,underdark
165,grassland
165,forest
165,hill
165,desert
168,underwater
169,swamp
170,grassland
170,forest
170,hill
170,desert
172,arctic
174,urban
176,grassland
176,desert
177,underwater
178,urban
179,forest
179,swamp
179,hill
179,urban
179,desert
179,coastal
179,arctic
179,mountain
179,underdark
180,underwater
181,desert
184,mountain
184,grassland
184,hill
184,desert
186,forest
186,swamp
187,urban
188,underdark
190,arctic
191,mountain
191,grassland
191,hill
191,coastal
191,arctic
193,forest
193,hill
193,urban
194,desert
195,underwater
195,coastal
196,underwater
196,coastal
197,underdark
197,urban
198,underdark
199,underdark
200,hill
200,urban
200,desert
201,desert
202,desert
206,urban
207,underdark
209,grassland
209,forest
209,swamp
209,hill
209,desert
209,coastal
209,arctic
209,underdark
209,mountain
211,forest
211,urban
212,underdark
212,mountain
212,grassland
212,forest
212,swamp
212,hill
212,arctic
213,underdark
214,forest
214,arctic
215,forest
216,grassland
216,forest
216,hill
217,grassland
217,forest
217,hill
218,underdark
218,grassland
218,forest
218,hill
218,urban
218,desert
221,underwater
221,coastal
222,grassland
222,forest
222,swamp
222,hill
222,desert
222,coastal
223,underdark
223,arctic
224,urban
225,urban
226,mountain
226,forest
226,hill
226,urban
226,desert
226,coastal
227,underdark
227,desert
229,underwater
230,urban
231,swamp
231,urban
232,swamp
232,hill
232,urban
234,underwater
235,arctic
236,grassland
237,grassland
237,urban
238,mountain
238,hill
238,desert
238,coastal
238,arctic
239,underdark
241,underdark
242,mountain
242,arctic
243,underwater
243,coastal
244,underdark
245,forest
246,desert
247,coastal
247,mountain
247,grassland
247,hill
247,arctic
247,forest
247,swamp
247,underdark
247,desert
248,underwater
248,coastal
250,underdark
250,urban
251,forest
251,swamp
252,urban
253,underdark
255,urban
257,underdark
257,urban
259,underdark
260,forest
261,urban
262,underwater
263,grassland
263,forest
263,swamp
263,hill
263,urban
263,desert
263,coastal
263,mountain
263,underdark
264,underdark
264,mountain
264,hill
266,coastal
266,underwater
267,underdark
267,mountain
267,hill
267,urban
268,underdark
268,grassland
268,forest
268,swamp
268,hill
268,urban
268,desert
269,underdark
269,grassland
269,forest
269,swamp
269,hill
269,urban
